index,value
1,1
2,3
3,5
4,9
5,13
6,17
7,24
8,31
9,38
10,45
11,53
12,61
13,75
14,87
15,97
16,112
17,124
18,139
19,147
20,175
21,182
22,205
23,219
24,242
25,265
26,277
27,309
28,313
29,349
30,378
31,386
32,430
33,445
34,478
35,480
36,546
37,548
38,603
39,615
40,669
41,677
42,718
43,769
44,776
45,836
46,840
47,905
48,907
49,1000
50,1007
51,1066
52,1072
53,1074
54,1202
55,1204
56,1298
57,1304
58,1306
59,1427
60,1434
61,1532
62,1534
63,1600
64,1659
65,1663
66,1667
67,1837
68,1891
69,1893
70,1960
71,2058
72,2060
73,2131
74,2193
75,2195
76,2357
77,2359
78,2431
79,2489
80,2591
81,2593
82,2712
83,2714
84,2724
85,2944
86,2946
87,2952
88,3170
89,3174
90,3178
91,3377
92,3388
93,3467
94,3469
95,3647
96,3698
97,3704
98,3706
99,3982
100,3986
101,3990
102,4212
103,4216
104,4223
105,4453
106,4519
107,4523
108,4731
109,4733
110,4741
111,4753
112,5105
113,5107
114,5207
115,5261
116,5263
117,5275
118,5632
119,5634
120,5792
121,5794
122,5994
123,5996
124,6024
125,6256
126,6258
127,6506
128,6508
129,6528
130,6780
131,6782
132,7018
133,7020
134,7043
135,7288
136,7290
137,7544
138,7546
139,7652
140,7672
141,8023
142,8034
143,8081
144,8296
145,8304
146,8308
147,8658
148,8666
149,8839
150,8902
151,8904
152,9302
153,9309
154,9416
155,9418
156,9718
157,9826
158,9833
159,9953
160,10177
161,10179
162,10467
163,10640
164,10644
165,10648
166,10707
167,11171
168,11173
169,11183
170,11594
171,11596
172,11764
173,11934
174,11936
175,11986
176,12447
177,12449
178,12455
179,12463
180,12974
181,12976
182,12982
183,13453
184,13479
185,13483
186,13501
187,13509
188,14235
189,14239
190,14246
191,14265
192,14269
193,14995
194,14997
195,15003
196,15031
197,15527
198,15529
199,15783
200,15785
201,15791
202,16286
203,16321
204,16421
205,16786
206,16788
207,16820
208,16822
209,17411
210,17548
211,17581
212,17583
213,18073
214,18157
215,18164
216,18579
217,18595
218,18599
219,19129
220,19131
221,19397
222,19399
223,19405
224,19934
225,19936
226,20393
227,20395
228,20449
229,20451
230,20461
231,21432
232,21434
233,21440
234,21448
235,22025
236,22031
237,22225
238,22229
239,22259
